,player_id,Player,pos,class
305,305,Trey Lyles,PF,1
306,306,Will Magnay,C,2
307,307,Thon Maker,C,3
308,308,Théo Maledon,PG,1
309,309,Karim Mané,PG,1
310,310,Terance Mann,SG,1
311,311,Nico Mannion,PG,1
312,312,Boban Marjanović,C,3
313,313,Lauri Markkanen,PF,1
314,314,Naji Marshall,SF,1
315,315,Caleb Martin,SF,1
316,316,Cody Martin,SF,1
317,317,Jeremiah Martin,PG,1
318,318,Kelan Martin,SF,1
319,319,Kenyon Martin Jr.,SF,3
320,320,Frank Mason III,PG,1
321,321,Garrison Mathews,SG,1
322,322,Dakota Mathias,SG,1
323,323,Wesley Matthews,SG,1
324,324,Tyrese Maxey,SG,1
325,325,Skylar Mays,SG,1
326,326,Patrick McCaw,SF,3
327,327,CJ McCollum,SG,0
328,328,T.J. McConnell,PG,1
329,329,Jaden McDaniels,PF,1
330,330,Jalen McDaniels,SF,1
331,331,Doug McDermott,PF,1
332,332,Sean McDermott,SF,1
333,333,JaVale McGee,C,3
334,334,Rodney McGruder,SG,1
335,335,Alfonzo McKinnie,SF,1
336,336,Jordan McLaughlin,PG,1
337,337,Ben McLemore,SG,1
338,338,Nicolò Melli,PF,1
339,339,De'Anthony Melton,PG,1
340,340,Sam Merrill,SG,1
341,341,Chimezie Metu,C,3
342,342,Khris Middleton,SF,0
343,343,Darius Miller,SF,1
344,344,Patty Mills,PG,1
345,345,Paul Millsap,PF,1
346,346,Shake Milton,SG,1
347,347,Donovan Mitchell,PG,0
348,348,Adam Mokoka,SG,1
349,349,Malik Monk,SG,1
350,350,E'Twaun Moore,SG,1
351,351,Ja Morant,PG,0
352,352,Juwan Morgan,PF,1
353,353,Marcus Morris,PF,1
354,354,Markieff Morris,PF,1
355,355,Monte Morris,PG,1
356,356,Mychal Mulder,PG,1
357,357,Dejounte Murray,PG,0
358,358,Jamal Murray,PG,0
359,359,Mike Muscala,C,1
360,360,Svi Mykhailiuk,SF-SG,1
361,361,Abdel Nader,SF,1
362,362,Larry Nance Jr.,PF,1
363,363,Aaron Nesmith,SF,1
