,player_id,Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts_percent,threepoint_attr,ftr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,class
242,242,Brandon Ingram,SF,23,NOP,61,61,2093,8.8,18.9,0.466,2.5,6.5,0.381,6.4,12.5,0.51,4.8,5.5,0.878,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9,19.2,0.584,0.341,0.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,3.9,1.3,5.3,0.12,3.3,-1.1,2.2,2.2,2
420,420,Julius Randle,PF,26,NYK,71,71,2667,8.1,17.8,0.456,2.2,5.3,0.411,6.0,12.6,0.474,4.7,5.8,0.811,1.1,8.6,9.8,5.8,0.9,0.2,3.3,3.0,23.1,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,2
176,176,Shai Gilgeous-Alexander,SG,22,OKC,35,35,1180,8.8,17.2,0.508,2.2,5.2,0.418,6.6,12.1,0.547,5.6,7.0,0.808,0.6,4.5,5.1,6.3,0.8,0.7,3.2,2.1,25.3,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8,2
456,456,Ben Simmons,PG,24,PHI,58,58,1877,6.2,11.2,0.557,0.1,0.2,0.3,6.2,11.0,0.562,3.4,5.5,0.613,1.8,6.2,8.0,7.7,1.8,0.7,3.3,3.3,15.9,18.3,0.584,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,2.7,3.3,6.0,0.153,0.7,2.2,2.9,2.3,2
207,207,Tobias Harris,PF,28,PHI,62,62,2014,8.5,16.5,0.512,1.5,3.7,0.394,7.0,12.8,0.546,3.3,3.6,0.892,1.1,6.4,7.5,3.9,1.0,0.9,1.9,2.1,21.6,20.0,0.597,0.225,0.221,3.5,19.2,11.5,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,0.17,2.9,0.8,3.7,2.9,2
145,145,Joel Embiid,C,26,PHI,51,51,1585,10.5,20.4,0.513,1.3,3.5,0.377,9.2,16.9,0.541,10.7,12.4,0.859,2.6,9.7,12.2,3.3,1.1,1.6,3.6,2.8,33.0,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,2
57,57,Devin Booker,SG,24,PHO,67,67,2270,9.9,20.4,0.484,2.0,5.9,0.34,7.9,14.5,0.543,5.4,6.2,0.867,0.5,3.9,4.5,4.6,0.8,0.3,3.3,2.9,27.2,19.2,0.587,0.288,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,0.104,1.7,-1.4,0.3,1.3,2
395,395,Chris Paul,PG,35,PHO,70,70,2199,7.2,14.4,0.499,1.7,4.2,0.395,5.5,10.2,0.543,2.8,3.0,0.934,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,2
296,296,Damian Lillard,PG,30,POR,67,67,2398,9.0,20.0,0.451,4.1,10.6,0.391,4.9,9.5,0.519,6.7,7.3,0.928,0.5,3.8,4.2,7.6,0.9,0.3,3.0,1.5,28.9,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5.0,2
327,327,CJ McCollum,SG,29,POR,47,47,1600,9.1,19.9,0.458,3.8,9.5,0.402,5.3,10.4,0.509,2.4,3.0,0.812,0.7,3.5,4.2,5.0,1.0,0.5,1.5,2.0,24.5,20.8,0.577,0.475,0.15,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,4.1,0.6,4.7,0.141,5.0,-1.1,3.9,2.4,2
