Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Kyle Guy,PG,23,SAC,31,0,235,4.4,13.5,0.33,2.0,7.0,0.283,2.5,6.4,0.381,2.5,3.1,0.8,0.8,4.6,5.4,4.9,0.9,0.0,1.7,3.1,13.3
Rui Hachimura,PF,22,WAS,57,57,1797,6.2,13.0,0.478,0.9,2.7,0.328,5.3,10.2,0.519,2.5,3.2,0.77,1.0,5.3,6.3,1.6,0.9,0.1,1.4,2.4,15.8
Ashton Hagans,PG,21,MIN,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Tyrese Haliburton,PG,20,SAC,58,20,1746,6.0,12.8,0.472,2.5,6.1,0.409,3.5,6.7,0.529,1.0,1.2,0.857,0.8,2.8,3.6,6.4,1.6,0.6,1.9,1.7,15.5
Donta Hall,PF,23,ORL,13,0,179,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,4.6,6.8,0.676,4.8,7.6,12.5,2.2,1.0,2.0,1.6,3.6,14.7
Josh Hall,SF,20,OKC,21,1,336,3.2,10.6,0.303,0.4,4.0,0.108,2.8,6.6,0.419,2.4,4.7,0.5,0.6,5.7,6.3,3.0,0.4,0.1,2.7,4.0,9.2
R.J. Hampton,SG-PG,19,TOT,51,1,888,5.5,12.7,0.435,1.1,3.5,0.31,4.4,9.2,0.482,2.2,3.3,0.671,1.2,6.1,7.3,3.5,0.9,0.4,2.1,2.5,14.4
Tim Hardaway Jr.,SG,28,DAL,70,31,1985,7.4,16.5,0.447,3.8,9.6,0.391,3.6,6.9,0.524,2.6,3.2,0.816,0.4,3.8,4.2,2.3,0.6,0.2,1.2,2.0,21.1
James Harden,PG-SG,31,TOT,44,43,1609,7.7,16.4,0.466,2.7,7.5,0.362,4.9,8.9,0.553,6.2,7.2,0.861,0.8,7.0,7.8,10.6,1.2,0.7,4.0,2.2,24.2
Maurice Harkless,PF-SF,27,TOT,37,23,772,3.2,7.7,0.418,1.1,3.9,0.274,2.1,3.8,0.568,1.5,2.0,0.767,0.6,3.5,4.2,2.1,1.4,0.9,1.0,4.0,9.0
Jared Harper,PG,23,NYK,8,0,16,0.0,9.0,0.0,0.0,2.3,0.0,0.0,6.8,0.0,6.8,9.0,0.75,0.0,4.5,4.5,2.3,0.0,0.0,6.8,2.3,6.8
Montrezl Harrell,C,27,LAL,69,1,1580,8.5,13.7,0.622,0.0,0.2,0.0,8.5,13.5,0.632,4.1,5.8,0.707,3.6,6.2,9.8,1.7,1.0,1.1,1.7,2.9,21.2
Gary Harris,SG,26,TOT,39,38,1080,4.6,11.5,0.4,1.6,4.7,0.34,3.0,6.8,0.441,2.1,2.6,0.821,0.7,1.9,2.6,2.6,0.9,0.4,1.2,2.4,12.9
Jalen Harris,SG,22,TOR,13,2,172,7.5,15.1,0.5,3.6,7.5,0.472,4.0,7.5,0.528,1.5,1.9,0.778,0.6,3.1,3.8,3.6,1.7,0.0,2.9,3.1,20.1
Joe Harris,SF,29,BRK,69,65,2141,6.0,11.9,0.505,3.5,7.5,0.475,2.5,4.4,0.555,0.8,1.1,0.778,0.7,3.4,4.2,2.2,0.8,0.2,1.0,2.4,16.4
Tobias Harris,PF,28,PHI,62,62,2014,8.5,16.5,0.512,1.5,3.7,0.394,7.0,12.8,0.546,3.3,3.6,0.892,1.1,6.4,7.5,3.9,1.0,0.9,1.9,2.1,21.6
Shaquille Harrison,SG,27,TOT,34,0,333,2.8,8.4,0.333,0.3,1.7,0.188,2.5,6.7,0.371,1.9,2.4,0.818,0.8,4.4,5.2,2.7,1.8,0.5,1.2,3.6,7.9
Josh Hart,SF,25,NOP,47,4,1349,4.0,9.2,0.439,1.7,5.2,0.326,2.3,4.0,0.583,1.8,2.4,0.775,1.4,8.6,10.1,2.9,1.0,0.3,1.3,3.0,11.6
Isaiah Hartenstein,C,22,TOT,46,2,559,6.1,11.0,0.55,0.1,0.4,0.333,5.9,10.6,0.558,3.0,4.6,0.648,4.2,7.5,11.7,3.5,1.2,2.5,2.8,6.7,15.2
Udonis Haslem,C,40,MIA,1,0,3,24.0,24.0,1.0,0.0,0.0,,24.0,24.0,1.0,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,48.0
Jaxson Hayes,C,20,NOP,60,3,964,6.5,10.5,0.625,0.2,0.5,0.429,6.3,9.9,0.635,3.5,4.5,0.775,3.4,6.2,9.6,1.3,0.9,1.4,1.5,3.8,16.8
Killian Hayes,PG,19,DET,26,18,670,3.8,10.8,0.353,1.1,3.9,0.278,2.7,6.9,0.395,0.8,0.9,0.824,0.3,3.4,3.7,7.4,1.5,0.5,4.5,3.1,9.5
Gordon Hayward,SF,30,CHO,44,44,1496,7.5,15.8,0.473,2.0,4.9,0.415,5.4,10.9,0.499,3.8,4.5,0.843,0.9,5.3,6.2,4.4,1.3,0.3,2.2,1.8,20.8
Juancho Hernangómez,PF,25,MIN,52,6,900,5.2,12.0,0.435,2.2,6.7,0.327,3.0,5.2,0.573,2.4,3.9,0.619,1.8,6.4,8.2,1.4,0.8,0.3,1.1,2.1,15.0
