Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Zeke Nnaji,PF,20,DEN,42,1,397,4.5,9.4,0.481,2.2,5.4,0.407,2.4,4.1,0.578,1.1,1.4,0.8,1.3,4.6,5.9,0.9,0.7,0.4,0.6,2.6,12.3
Nerlens Noel,C,26,NYK,64,41,1547,3.2,5.2,0.614,0.0,0.1,0.0,3.2,5.1,0.623,1.2,1.6,0.714,3.3,6.2,9.5,1.1,1.6,3.3,1.5,4.1,7.5
Jaylen Nowell,SG,21,MIN,42,0,759,6.7,15.9,0.424,2.4,7.1,0.333,4.4,8.8,0.497,2.1,2.6,0.818,0.9,3.6,4.5,2.9,1.0,0.6,1.3,3.4,18.0
Frank Ntilikina,PG,22,NYK,33,4,322,3.2,8.8,0.367,2.6,5.4,0.479,0.7,3.5,0.194,0.9,2.0,0.444,0.7,2.8,3.5,2.1,2.0,0.4,1.2,5.0,10.0
Kendrick Nunn,PG,25,MIA,56,44,1650,7.0,14.4,0.485,2.7,7.0,0.381,4.3,7.4,0.583,1.2,1.3,0.933,0.5,3.4,3.9,3.2,1.1,0.3,1.7,2.4,17.8
James Nunnally,SF,30,NOP,9,0,48,3.7,9.7,0.385,3.0,9.0,0.333,0.7,0.7,1.0,0.7,1.5,0.5,1.5,5.2,6.8,2.3,0.0,0.0,1.5,0.7,11.3
Jusuf Nurkić,C,26,POR,37,37,880,7.0,13.6,0.514,0.5,1.2,0.4,6.5,12.4,0.525,2.9,4.6,0.619,3.5,10.1,13.6,5.1,1.6,1.6,3.0,4.2,17.3
David Nwaba,SF,28,HOU,30,9,679,5.6,11.6,0.486,0.9,3.3,0.27,4.7,8.2,0.574,2.5,3.6,0.691,2.1,4.1,6.3,1.6,1.6,1.1,0.9,3.2,14.6
Jordan Nwora,SF,22,MIL,30,2,274,8.1,17.7,0.459,3.7,8.1,0.452,4.5,9.6,0.466,2.5,3.3,0.76,1.2,6.7,7.9,0.9,2.1,0.9,3.2,2.9,22.5
Royce O'Neale,SF,27,UTA,71,71,2241,2.8,6.3,0.444,1.7,4.5,0.385,1.1,1.9,0.586,0.6,0.7,0.848,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8.0
Semi Ojeleye,PF,26,BOS,56,15,950,3.4,8.4,0.403,2.2,6.0,0.367,1.2,2.4,0.492,0.9,1.2,0.75,1.2,4.4,5.6,1.4,0.6,0.0,0.8,2.1,9.9
Jahlil Okafor,C,25,DET,27,2,347,6.5,10.6,0.618,0.2,0.9,0.222,6.3,9.6,0.656,1.8,2.5,0.708,2.4,4.5,6.8,1.3,0.6,0.5,2.2,4.0,15.0
Chuma Okeke,PF,22,ORL,45,19,1133,4.3,10.3,0.417,1.6,4.5,0.348,2.7,5.8,0.47,1.0,1.3,0.75,1.3,4.4,5.8,3.2,1.5,0.7,1.2,1.5,11.1
Josh Okogie,SG,22,MIN,59,37,1197,3.1,7.6,0.402,0.9,3.2,0.269,2.2,4.4,0.5,2.5,3.2,0.769,1.9,2.8,4.7,1.9,1.6,0.8,1.3,3.7,9.5
Onyeka Okongwu,C,20,ATL,50,4,601,5.8,8.9,0.644,0.0,0.2,0.0,5.8,8.7,0.658,2.2,3.4,0.632,3.7,6.0,9.8,1.1,1.4,2.0,1.7,6.0,13.7
Isaac Okoro,SG,20,CLE,67,67,2173,3.9,9.3,0.42,1.0,3.5,0.29,2.9,5.7,0.501,1.9,2.6,0.726,1.1,2.3,3.4,2.1,1.0,0.4,1.4,3.1,10.7
KZ Okpala,PF,21,MIA,37,9,447,2.9,7.7,0.375,1.0,4.0,0.24,1.9,3.7,0.522,0.6,1.2,0.533,1.7,3.8,5.5,1.5,0.8,0.9,1.2,4.8,7.4
Victor Oladipo,SG,28,TOT,33,33,1080,7.8,19.2,0.408,2.6,8.0,0.326,5.2,11.2,0.466,3.5,4.6,0.754,0.4,4.9,5.3,5.0,1.5,0.5,2.8,2.7,21.7
Cameron Oliver,SF,24,HOU,4,0,87,7.9,13.7,0.576,1.7,5.4,0.308,6.2,8.3,0.75,0.4,1.7,0.25,2.1,6.6,8.7,2.1,0.8,1.7,1.2,4.6,17.8
Kelly Olynyk,C-PF,29,TOT,70,62,1997,6.1,12.6,0.484,2.3,6.6,0.342,3.8,5.9,0.641,2.6,3.2,0.829,1.6,7.2,8.8,3.7,1.4,0.8,2.3,3.7,17.0
Miye Oni,SG,23,UTA,54,0,519,2.4,6.9,0.354,2.1,6.1,0.341,0.3,0.8,0.455,0.3,0.4,0.833,1.6,4.2,5.8,1.9,0.8,0.6,1.1,4.2,7.3
Cedi Osman,SF,25,CLE,59,26,1510,5.2,14.0,0.374,2.4,7.7,0.306,2.9,6.2,0.458,1.8,2.3,0.8,0.9,3.9,4.8,4.1,1.3,0.2,1.9,2.8,14.6
Daniel Oturu,C,21,LAC,30,0,161,4.9,11.6,0.423,0.2,1.1,0.2,4.7,10.5,0.447,2.0,2.7,0.75,4.7,6.0,10.7,2.2,0.9,1.6,2.0,5.4,12.1
Kelly Oubre Jr.,SF,25,GSW,55,50,1687,6.8,15.4,0.439,1.9,6.1,0.316,4.9,9.4,0.519,2.6,3.8,0.695,1.7,5.3,7.0,1.6,1.2,0.9,1.5,2.6,18.1
Jabari Parker,PF,25,TOT,13,0,165,6.5,12.0,0.545,0.4,2.4,0.182,6.1,9.6,0.636,2.2,2.8,0.769,2.2,7.0,9.2,2.4,0.2,1.1,2.2,2.8,15.7
Eric Paschall,PF,24,GSW,40,2,695,7.7,15.4,0.497,0.9,2.8,0.333,6.7,12.6,0.533,3.5,4.9,0.713,1.5,5.2,6.6,2.6,0.6,0.4,2.2,3.5,19.7
Anžejs Pasečņiks,C,25,WAS,1,0,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,6.0,0.0,6.0,6.0,0.0,0.0,30.0,12.0,0.0
Patrick Patterson,PF,31,LAC,38,5,582,4.5,10.2,0.436,2.5,6.9,0.357,2.0,3.3,0.604,0.8,1.1,0.765,1.2,3.5,4.6,1.8,0.9,0.5,0.7,2.8,12.2
Justin Patton,C,23,HOU,13,6,247,4.2,10.2,0.414,1.3,5.0,0.265,2.9,5.2,0.556,0.4,0.6,0.75,2.0,5.1,7.1,2.0,1.7,2.0,0.6,5.0,10.2
Chris Paul,PG,35,PHO,70,70,2199,7.2,14.4,0.499,1.7,4.2,0.395,5.5,10.2,0.543,2.8,3.0,0.934,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8
Cameron Payne,PG,26,PHO,60,1,1079,6.4,13.2,0.484,2.4,5.5,0.44,3.9,7.6,0.515,1.7,1.9,0.893,0.5,4.3,4.8,7.2,1.2,0.5,2.0,3.2,16.8
Elfrid Payton,PG,26,NYK,63,63,1484,6.5,15.1,0.432,0.7,2.4,0.286,5.8,12.7,0.46,1.8,2.6,0.682,1.6,3.7,5.2,4.9,1.1,0.2,2.5,2.8,15.5
Gary Payton II,PG,28,GSW,10,0,40,9.0,11.7,0.769,1.8,3.6,0.5,7.2,8.1,0.889,2.7,3.6,0.75,1.8,8.1,9.9,0.9,5.4,0.9,0.9,7.2,22.5
Norvel Pelle,C,27,TOT,13,0,84,3.4,6.4,0.533,0.0,0.0,,3.4,6.4,0.533,1.7,2.6,0.667,2.6,5.6,8.1,0.9,0.4,3.9,1.3,6.0,8.6
Reggie Perry,PF,20,BRK,26,0,211,5.5,13.3,0.41,0.7,3.6,0.19,4.8,9.7,0.491,1.7,2.2,0.769,4.6,7.8,12.5,2.4,1.0,1.0,2.6,6.8,13.3
Theo Pinson,SG,25,NYK,17,0,34,1.1,9.5,0.111,0.0,8.5,0.0,1.1,1.1,1.0,0.0,0.0,,0.0,5.3,5.3,1.1,0.0,0.0,1.1,4.2,2.1
Mason Plumlee,C,30,DET,56,56,1499,5.6,9.2,0.614,0.0,0.2,0.0,5.6,9.0,0.626,2.7,4.1,0.669,3.5,9.0,12.5,4.9,1.0,1.2,2.5,4.5,14.0
Jakob Poeltl,C,25,SAS,69,51,1845,5.2,8.4,0.616,0.0,0.0,,5.2,8.4,0.616,1.2,2.4,0.508,4.3,6.4,10.7,2.6,0.9,2.4,1.6,3.4,11.6
Vincent Poirier,C,27,PHI,10,0,39,2.8,11.1,0.25,0.0,0.9,0.0,2.8,10.2,0.273,1.8,5.5,0.333,5.5,7.4,12.9,1.8,0.0,2.8,3.7,7.4,7.4
Aleksej Pokusevski,PF,19,OKC,45,28,1090,4.6,13.5,0.341,1.9,6.8,0.28,2.7,6.6,0.403,1.0,1.4,0.738,1.0,6.0,7.0,3.2,0.7,1.4,3.3,1.9,12.1
Jordan Poole,SG,21,GSW,51,7,988,7.5,17.3,0.432,3.5,10.1,0.351,3.9,7.2,0.545,3.8,4.3,0.882,0.5,2.8,3.4,3.6,0.9,0.3,1.9,3.1,22.3
Jontay Porter,PF,21,MEM,11,0,54,5.3,10.0,0.533,2.0,5.3,0.375,3.3,4.7,0.714,2.0,3.3,0.6,2.7,6.7,9.3,0.7,2.0,0.7,4.7,8.0,14.7
Kevin Porter Jr.,SG,20,HOU,26,23,835,6.7,15.8,0.425,2.2,6.9,0.311,4.6,8.9,0.515,3.0,4.1,0.734,0.9,3.4,4.3,7.1,0.8,0.3,3.9,2.6,18.6
Michael Porter Jr.,SF,22,DEN,61,54,1912,8.3,15.4,0.542,3.2,7.2,0.445,5.1,8.2,0.628,2.0,2.5,0.791,1.7,6.7,8.4,1.3,0.8,1.0,1.4,2.4,21.9
Otto Porter Jr.,SF-PF,27,TOT,28,6,606,5.8,13.5,0.432,2.3,6.2,0.375,3.5,7.3,0.48,2.1,2.5,0.857,1.7,7.4,9.0,3.3,1.0,0.2,1.5,2.4,16.1
Bobby Portis,C,25,MIL,66,7,1372,8.2,15.7,0.523,1.9,4.1,0.471,6.3,11.6,0.542,1.4,1.9,0.74,3.3,9.0,12.2,1.9,1.4,0.7,1.5,3.0,19.8
Kristaps Porziņģis,C,25,DAL,43,43,1327,8.8,18.5,0.476,2.6,7.0,0.376,6.2,11.5,0.536,3.2,3.7,0.855,2.2,8.1,10.3,1.8,0.5,1.6,1.4,3.1,23.5
Dwight Powell,C,29,DAL,58,19,966,4.5,7.2,0.619,0.2,0.8,0.238,4.3,6.4,0.665,3.6,4.6,0.782,3.0,5.7,8.7,2.3,1.3,1.1,1.5,5.0,12.7
Norman Powell,SG-SF,27,TOT,69,58,2205,7.2,15.0,0.477,2.8,6.8,0.411,4.4,8.2,0.532,3.9,4.4,0.871,0.7,2.8,3.5,2.1,1.3,0.3,1.9,2.6,20.9
Taurean Prince,PF,26,TOT,41,10,905,5.2,13.0,0.401,2.5,6.2,0.4,2.7,6.8,0.401,2.6,3.0,0.855,0.8,4.9,5.6,3.0,1.1,0.9,1.9,3.0,15.5
Payton Pritchard,SG,23,BOS,66,4,1268,5.2,11.9,0.44,2.9,7.0,0.411,2.3,4.8,0.482,1.1,1.3,0.889,0.9,3.5,4.5,3.4,1.1,0.3,1.5,3.0,14.5
Immanuel Quickley,PG,21,NYK,64,3,1243,6.6,16.8,0.395,3.4,8.8,0.389,3.2,8.0,0.401,4.5,5.0,0.891,0.7,3.2,4.0,3.7,0.9,0.3,1.7,3.3,21.2
Jahmi'us Ramsey,SG,19,SAC,13,0,94,5.7,14.6,0.395,1.9,7.3,0.263,3.8,7.3,0.526,1.9,1.9,1.0,0.8,3.1,3.8,2.3,1.5,0.4,1.1,3.1,15.3
Chasson Randle,PG,27,ORL,41,5,837,4.0,10.2,0.388,1.9,5.6,0.338,2.1,4.6,0.449,1.6,2.1,0.792,0.3,3.2,3.5,3.2,0.9,0.2,2.0,2.8,11.4
Julius Randle,PF,26,NYK,71,71,2667,8.1,17.8,0.456,2.2,5.3,0.411,6.0,12.6,0.474,4.7,5.8,0.811,1.1,8.6,9.8,5.8,0.9,0.2,3.3,3.0,23.1
Cam Reddish,SF,21,ATL,26,21,750,4.6,12.6,0.365,1.6,6.0,0.262,3.0,6.6,0.46,3.2,3.9,0.817,1.1,3.9,5.0,1.7,1.6,0.4,1.6,3.3,14.0
J.J. Redick,SG,36,TOT,44,0,723,5.3,13.3,0.397,3.3,8.9,0.371,2.0,4.4,0.449,2.4,2.6,0.942,0.2,3.0,3.2,2.5,0.5,0.1,1.8,2.5,16.3
Paul Reed,PF,21,PHI,26,0,177,8.5,15.9,0.538,0.0,1.2,0.0,8.5,14.6,0.583,0.8,1.6,0.5,6.1,6.3,12.4,2.4,2.0,2.6,2.4,5.9,17.9
Naz Reid,C,21,MIN,70,15,1347,8.1,15.5,0.523,1.6,4.7,0.351,6.5,10.9,0.597,3.1,4.4,0.693,2.2,6.4,8.6,1.9,0.9,2.0,1.8,4.8,21.0
Cameron Reynolds,SF,25,TOT,5,0,40,5.4,16.2,0.333,2.7,10.8,0.25,2.7,5.4,0.5,0.0,0.0,,1.8,2.7,4.5,1.8,0.0,0.0,0.0,1.8,13.5
Nick Richards,PF,23,CHO,18,0,63,2.3,5.1,0.444,0.0,0.6,0.0,2.3,4.6,0.5,4.0,6.3,0.636,2.3,4.0,6.3,1.1,0.0,0.0,1.7,4.0,8.6
Josh Richardson,SG,27,DAL,59,56,1790,5.3,12.4,0.427,1.8,5.4,0.33,3.5,7.1,0.501,2.0,2.2,0.917,1.0,2.9,3.9,3.1,1.2,0.5,1.6,2.6,14.4
Grant Riller,PG,23,CHO,7,0,27,10.7,16.0,0.667,2.7,5.3,0.5,8.0,10.7,0.75,0.0,0.0,,0.0,1.3,1.3,4.0,1.3,0.0,1.3,0.0,24.0
Austin Rivers,SG,28,TOT,36,7,845,4.4,10.4,0.424,2.3,6.3,0.369,2.1,4.1,0.51,0.9,1.3,0.71,0.3,3.2,3.5,3.5,1.3,0.1,1.5,2.7,12.1
Andre Roberson,SG,29,BRK,5,0,63,1.1,8.0,0.143,0.6,4.6,0.125,0.6,3.4,0.167,0.6,1.1,0.5,4.0,4.6,8.6,2.3,1.7,0.6,1.1,2.3,3.4
Duncan Robinson,SF,26,MIA,72,72,2262,5.0,11.4,0.439,4.0,9.8,0.408,1.0,1.7,0.625,1.0,1.2,0.827,0.1,3.9,4.0,2.0,0.7,0.3,1.3,2.9,15.0
Glenn Robinson III,SF,27,SAC,23,2,369,4.1,9.7,0.424,1.6,4.3,0.364,2.5,5.4,0.473,2.0,2.2,0.913,1.1,3.3,4.4,2.0,0.4,0.3,1.1,2.2,11.8
Jerome Robinson,SG,23,WAS,17,6,305,3.3,11.2,0.295,1.3,5.0,0.262,2.0,6.3,0.321,1.9,2.4,0.8,0.5,4.0,4.5,3.0,1.4,0.7,2.2,3.7,9.8
Justin Robinson,PG,23,OKC,9,0,88,2.9,8.6,0.333,1.6,5.7,0.286,1.2,2.9,0.429,1.2,2.0,0.6,0.4,2.5,2.9,3.7,1.2,0.0,0.8,4.1,8.6
Mitchell Robinson,C,22,NYK,31,29,853,4.9,7.4,0.653,0.0,0.0,,4.9,7.4,0.653,1.1,2.2,0.491,4.8,5.9,10.6,0.7,1.5,1.9,1.1,3.6,10.8
Isaiah Roby,PF,22,OKC,61,34,1425,5.2,10.8,0.483,0.8,2.8,0.294,4.4,8.1,0.547,2.2,3.0,0.744,2.2,6.4,8.6,2.7,1.3,0.9,2.9,4.1,13.5
Rajon Rondo,PG,34,TOT,45,3,770,4.4,10.1,0.442,1.7,4.2,0.404,2.8,5.9,0.468,0.7,0.8,0.941,0.8,4.3,5.1,9.3,1.7,0.2,3.7,2.5,11.3
Derrick Rose,PG,32,TOT,50,3,1279,8.1,17.2,0.47,1.4,3.6,0.388,6.7,13.6,0.492,3.1,3.6,0.866,0.6,3.1,3.7,5.9,1.4,0.5,2.2,1.6,20.7
Terrence Ross,SG,29,ORL,46,2,1347,6.8,16.5,0.412,2.4,7.1,0.337,4.4,9.4,0.469,3.2,3.7,0.87,0.4,3.8,4.2,2.9,1.3,0.6,2.0,2.4,19.2
Terry Rozier,SG,26,CHO,69,69,2383,7.7,17.1,0.45,3.4,8.6,0.389,4.4,8.5,0.512,2.5,3.1,0.817,0.7,3.9,4.6,4.4,1.3,0.4,1.9,1.8,21.3
Ricky Rubio,PG,30,MIN,68,51,1772,3.9,10.1,0.388,1.3,4.3,0.308,2.6,5.8,0.447,2.6,3.0,0.867,0.6,4.0,4.5,8.8,2.0,0.1,2.3,2.8,11.8
D'Angelo Russell,PG,24,MIN,42,26,1196,8.5,19.6,0.431,3.6,9.3,0.387,4.8,10.3,0.471,3.4,4.5,0.765,0.5,2.9,3.3,7.3,1.4,0.5,3.4,2.0,24.0
Domantas Sabonis,PF,24,IND,62,62,2231,7.8,14.6,0.535,0.8,2.6,0.321,7.0,12.0,0.582,3.9,5.3,0.732,2.4,9.6,12.0,6.7,1.2,0.5,3.4,3.3,20.3
Luka Šamanić,PF,21,SAS,33,4,308,5.5,12.3,0.448,1.4,5.0,0.279,4.1,7.2,0.565,1.9,3.4,0.552,1.9,6.1,7.9,1.8,0.9,0.9,2.3,5.0,14.3
JaKarr Sampson,PF,27,IND,29,4,316,6.4,12.9,0.496,0.3,1.7,0.2,6.0,11.2,0.541,2.2,3.3,0.655,3.1,5.7,8.8,0.5,0.2,1.6,1.7,5.9,15.3
Dario Šarić,C,26,PHO,50,4,871,6.3,14.1,0.447,1.9,5.6,0.348,4.4,8.6,0.512,3.5,4.1,0.848,1.9,6.0,7.9,2.7,1.2,0.2,2.4,3.9,18.1
Tomáš Satoranský,SG,29,CHI,58,18,1307,4.7,9.1,0.514,1.2,3.3,0.356,3.5,5.8,0.602,1.8,2.2,0.848,0.8,3.1,3.9,7.5,1.1,0.4,2.6,2.5,12.3
Dennis Schröder,SG,27,LAL,61,61,1956,6.1,14.0,0.437,1.3,3.9,0.335,4.8,10.1,0.476,3.8,4.5,0.848,0.6,3.3,3.9,6.5,1.3,0.2,3.0,2.9,17.3
Mike Scott,PF,32,PHI,51,12,852,3.2,8.9,0.36,2.2,6.5,0.342,1.0,2.4,0.411,0.3,0.5,0.667,0.5,4.6,5.1,1.7,1.0,0.6,0.8,3.0,9.0
Jay Scrubb,SG,20,LAC,4,1,84,6.0,15.4,0.389,0.9,3.9,0.222,5.1,11.6,0.444,2.1,2.1,1.0,0.9,5.1,6.0,0.4,1.7,0.0,3.0,2.1,15.0
Collin Sexton,SG,22,CLE,60,60,2115,8.9,18.8,0.475,1.7,4.5,0.371,7.3,14.3,0.508,5.3,6.5,0.815,1.0,2.2,3.2,4.5,1.1,0.2,2.8,2.7,24.9
Landry Shamet,SG,23,BRK,61,12,1403,4.8,11.7,0.408,3.3,8.5,0.387,1.5,3.2,0.463,1.7,2.0,0.846,0.3,2.6,2.9,2.5,0.8,0.3,1.2,2.4,14.5
Iman Shumpert,SG,30,BRK,2,0,11,3.3,13.1,0.25,0.0,9.8,0.0,3.3,3.3,1.0,0.0,0.0,,3.3,0.0,3.3,0.0,3.3,0.0,3.3,0.0,6.5
Pascal Siakam,PF,26,TOR,56,56,2006,7.8,17.2,0.455,1.3,4.4,0.297,6.5,12.8,0.509,4.5,5.4,0.827,1.7,5.6,7.3,4.5,1.1,0.7,2.3,3.1,21.5
Chris Silva,PF,24,TOT,15,0,92,3.9,6.3,0.625,0.4,0.4,1.0,3.5,5.9,0.6,4.3,5.9,0.733,2.7,7.8,10.6,2.3,0.4,2.3,3.9,9.4,12.5
Ben Simmons,PG,24,PHI,58,58,1877,6.2,11.2,0.557,0.1,0.2,0.3,6.2,11.0,0.562,3.4,5.5,0.613,1.8,6.2,8.0,7.7,1.8,0.7,3.3,3.3,15.9
Anfernee Simons,SG,21,POR,64,0,1104,5.5,13.1,0.419,3.9,9.2,0.426,1.6,3.9,0.403,1.5,1.9,0.807,0.5,4.1,4.6,2.9,0.6,0.3,1.4,3.1,16.4
Deividas Sirvydis,SG,20,DET,20,0,133,3.8,10.8,0.35,2.7,7.6,0.357,1.1,3.2,0.333,0.8,1.6,0.5,0.0,7.8,7.8,1.4,0.5,0.0,1.4,2.4,11.1
Alen Smailagić,PF,20,GSW,15,1,84,4.7,11.6,0.407,1.7,4.3,0.4,3.0,7.3,0.412,0.9,2.6,0.333,2.6,4.3,6.9,1.7,1.3,2.1,2.1,4.7,12.0
Marcus Smart,PG,26,BOS,48,45,1581,4.6,11.6,0.398,2.1,6.4,0.33,2.5,5.2,0.482,2.9,3.7,0.79,0.8,3.0,3.8,6.2,1.6,0.5,2.2,2.9,14.3
Dennis Smith Jr.,PG,23,TOT,23,9,420,5.0,12.4,0.4,1.6,5.0,0.328,3.3,7.5,0.448,1.6,2.2,0.731,1.0,3.7,4.7,6.6,2.0,1.2,2.2,3.2,13.2
Ish Smith,PG,32,WAS,44,1,924,5.0,11.6,0.434,0.7,1.9,0.367,4.3,9.7,0.448,0.7,1.3,0.576,0.9,5.0,5.8,6.7,1.2,0.5,1.6,2.4,11.5
Jalen Smith,PF,20,PHO,27,1,156,5.1,11.5,0.44,0.9,3.9,0.235,4.2,7.6,0.545,1.2,1.6,0.714,1.6,6.9,8.5,0.9,0.2,1.2,1.6,3.7,12.2
Tony Snell,SG,29,ATL,47,23,992,3.2,6.2,0.515,2.3,4.0,0.569,0.9,2.3,0.419,0.4,0.4,1.0,0.7,3.4,4.1,2.1,0.5,0.4,0.8,2.7,9.0
Ray Spalding,C,23,HOU,2,0,19,3.8,7.6,0.5,0.0,1.9,0.0,3.8,5.7,0.667,0.0,3.8,0.0,3.8,3.8,7.6,0.0,0.0,3.8,5.7,5.7,7.6
Cassius Stanley,SG,21,IND,24,0,93,5.0,16.6,0.302,1.2,5.0,0.231,3.9,11.6,0.333,2.7,3.5,0.778,3.1,4.6,7.7,0.4,0.4,0.8,0.4,5.4,13.9
Lamar Stevens,PF,23,CLE,40,0,499,4.5,9.8,0.456,0.3,1.8,0.16,4.2,8.0,0.523,2.7,3.7,0.725,1.7,5.2,6.9,1.8,1.2,0.9,1.7,3.8,11.9
Isaiah Stewart,C,19,DET,68,14,1455,5.6,10.1,0.553,0.5,1.6,0.333,5.1,8.6,0.592,1.6,2.3,0.696,3.9,7.3,11.2,1.5,1.0,2.1,1.7,4.6,13.3
Max Strus,SF,24,MIA,39,0,507,6.0,13.3,0.455,3.6,10.5,0.338,2.5,2.8,0.897,1.1,1.7,0.667,0.4,2.6,2.9,1.7,0.8,0.1,0.6,3.1,16.8
Edmond Sumner,SG,25,IND,53,24,861,6.2,11.8,0.525,1.5,3.7,0.398,4.7,8.1,0.582,2.8,3.5,0.819,0.8,3.2,3.9,2.0,1.4,0.4,2.1,3.7,16.7
Jae'Sean Tate,SF,25,HOU,70,58,2043,5.6,11.0,0.506,1.1,3.4,0.308,4.5,7.6,0.595,1.8,2.6,0.694,2.3,4.3,6.6,3.1,1.5,0.6,1.7,3.9,14.0
Jayson Tatum,SF,22,BOS,64,64,2290,9.5,20.7,0.459,2.9,7.6,0.386,6.6,13.1,0.502,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.6
Jeff Teague,PG,32,TOT,55,7,950,4.7,10.8,0.433,1.4,3.1,0.439,3.3,7.7,0.431,3.4,4.0,0.848,0.6,2.8,3.3,5.0,1.3,0.5,2.4,2.1,14.1
Garrett Temple,SG,34,CHI,56,25,1528,3.7,9.0,0.415,1.6,4.7,0.335,2.1,4.3,0.503,0.9,1.2,0.8,0.7,3.1,3.8,2.9,1.0,0.7,1.4,3.0,10.0
Tyrell Terry,PG,20,DAL,11,0,56,3.2,10.3,0.313,0.0,4.5,0.0,3.2,5.8,0.556,0.6,1.9,0.333,0.0,3.9,3.9,3.9,3.2,0.0,1.3,1.3,7.1
Daniel Theis,C,28,TOT,65,51,1601,5.7,10.5,0.541,1.1,3.4,0.322,4.6,7.1,0.646,1.7,2.5,0.673,2.1,5.9,8.0,2.4,0.9,1.3,1.5,3.8,14.1
Brodric Thomas,SG,24,TOT,32,1,399,3.5,9.7,0.361,1.4,5.3,0.271,2.1,4.4,0.469,2.8,4.2,0.674,0.7,4.1,4.8,2.7,1.4,0.9,2.0,3.6,11.3
Isaiah Thomas,PG,31,NOP,3,0,48,6.8,20.3,0.333,2.3,9.0,0.25,4.5,11.3,0.4,1.5,1.5,1.0,0.7,2.3,3.0,3.7,0.7,0.0,4.5,2.3,17.2
Khyri Thomas,SG,24,HOU,5,2,153,7.5,15.5,0.485,2.1,6.4,0.333,5.4,9.2,0.59,2.1,2.1,1.0,1.6,2.6,4.2,5.9,2.1,1.4,1.4,1.9,19.3
Matt Thomas,SG,26,TOT,45,0,326,5.5,14.0,0.394,3.0,8.8,0.338,2.5,5.2,0.489,1.3,1.5,0.857,0.8,4.1,4.9,2.1,0.4,0.0,1.5,2.0,15.3
Tristan Thompson,PF,29,BOS,54,43,1287,4.7,9.1,0.518,0.0,0.1,0.0,4.7,9.0,0.523,2.0,3.4,0.592,4.7,7.6,12.3,1.9,0.7,0.9,1.7,3.3,11.4
Sindarius Thornwell,SG,26,TOT,21,1,217,2.5,7.6,0.326,1.2,3.8,0.304,1.3,3.8,0.348,0.7,1.3,0.5,0.5,2.5,3.0,3.5,2.2,0.3,1.2,2.5,6.8
Matisse Thybulle,SG,23,PHI,65,8,1298,2.8,6.7,0.42,1.2,4.0,0.301,1.6,2.8,0.59,0.2,0.5,0.444,0.8,2.6,3.4,1.7,2.9,2.0,0.9,3.5,7.1
Killian Tillie,C,22,MEM,18,1,182,3.8,11.3,0.333,2.0,6.5,0.303,1.8,4.7,0.375,1.8,2.2,0.818,1.2,3.6,4.7,1.6,1.0,1.6,0.4,4.0,11.3
Xavier Tillman Sr.,PF,22,MEM,59,12,1085,5.5,9.9,0.559,0.7,2.2,0.338,4.8,7.8,0.62,1.1,1.8,0.642,2.5,6.0,8.5,2.5,1.5,1.1,1.5,3.8,12.9
Anthony Tolliver,PF,35,PHI,11,0,99,1.5,6.2,0.235,1.5,5.1,0.286,0.0,1.1,0.0,1.8,2.2,0.833,1.1,2.5,3.6,0.7,1.1,0.7,1.1,2.5,6.2
Obi Toppin,PF,22,NYK,62,0,683,5.5,11.0,0.498,1.4,4.5,0.306,4.1,6.5,0.629,1.0,1.4,0.731,1.4,5.9,7.3,1.5,0.9,0.8,1.2,2.9,13.3
Juan Toscano-Anderson,SG,27,GSW,53,16,1107,3.9,6.8,0.579,1.2,3.0,0.402,2.7,3.8,0.718,0.7,1.0,0.71,0.9,6.7,7.6,4.9,1.3,0.8,2.0,3.6,9.8
Axel Toupane,SF,28,MIL,8,1,61,2.4,6.5,0.364,0.6,1.2,0.5,1.8,5.3,0.333,3.0,4.1,0.714,0.0,3.5,3.5,2.4,1.2,1.8,0.0,3.5,8.3
Karl-Anthony Towns,C,25,MIN,50,50,1689,9.1,18.7,0.486,2.6,6.7,0.387,6.5,11.9,0.541,5.7,6.6,0.859,2.8,8.4,11.3,4.8,0.8,1.2,3.4,4.0,26.4
Gary Trent Jr.,SG,22,TOT,58,38,1802,6.4,15.7,0.408,3.3,8.6,0.385,3.1,7.1,0.435,1.7,2.1,0.783,0.5,2.5,3.0,1.6,1.1,0.2,0.9,1.8,17.7
P.J. Tucker,PF,35,TOT,52,33,1356,1.8,4.7,0.373,1.1,3.2,0.336,0.7,1.5,0.448,0.6,0.7,0.75,1.4,4.1,5.4,1.6,1.0,0.5,1.1,3.3,5.1
Rayjon Tucker,PG,23,PHI,14,0,68,4.8,9.5,0.5,1.1,3.7,0.286,3.7,5.8,0.636,7.4,10.1,0.737,0.5,5.3,5.8,3.2,1.1,0.0,2.1,4.2,18.0
